ITEM,AIN,MIN BID,IMP,NSB#,LEGAL DESCRIPTION,LOCATION,PROPERTY ADDRESS,clean_address,Latitude,Longitude
1585,2512-027-029,"$9,394",Y,536,TRACT NO 19909 LOT 90,CITY-LOS ANGELES,13166 TRIPOLI AVE LOS ANGELES CA 91342 3432,13166 TRIPOLI AVE LOS ANGELES CA 91342,34.3092974,-118.418244
1586,2512-031-014,"$4,219",Y,536,TR=60575 LOT 14,CITY-LOS ANGELES,13371 HYLAND CT SYLMAR CA 91342 4834,13371 HYLAND CT SYLMAR CA 91342,34.3116109,-118.4247756
1587,2518-008-013,"$121,082",Y,533,TRACT # 1214 EX OF ST LOT 13 AND ALL OF LOT 14,CITY EMP PENSION,455 N MACLAY AVE SAN FERNANDO C 91340 2416,455 N MACLAY AVE SAN FERNANDO C 91340,,
1588,2520-007-011,"$19,058",Y,533,"TRACT # 13612 LOT ON NE LINE OF FIRST ST COM SE THEREON 124 FT FROM MOST
W COR OF LOT 32 TH S 41¢30' E 32 FT WITH A UNIFORM DEPTH OF 130 FT N
48¢26'15"" E PART OF LOT 32 AND LOT 33",CITY EMP PENSION,1801 1ST ST SAN FERNANDO C 91340 2608,1801 1ST ST SAN FERNANDO C 91340,,
1591,2526-005-017,"$4,765",,536,TRACT # 7342 LOTS 69 AND LOT 70,COUNTY OF LOS ANGELES,VACANT LOT,VACANT LOT,,
1592,2526-013-024,"$2,974",,536,TRACT # 7342 LOT 377,COUNTY OF LOS ANGELES,VACANT LOT,VACANT LOT,,
1593,2530-036-037,"$91,180",Y,536,TRACT NO 24597 LOT 3,CITY-LOS ANGELES,"11350 KAGEL CANYON ST LOS ANGELES CA 91342
6511",11350 KAGEL CANYON ST LOS ANGELES CA 91342,34.2822003,-118.3781299
1594,2531-015-008,"$26,219",,536,"THE MACLAY RANCHO 1.25 ACS NE 315 FT OF SE 172.92 FT OF NW 691.5 FT OF LOT
BLK 58",CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1595,2533-014-029,"$23,113",Y,536,"THE MACLAY RANCHO LOT COM S 48¢41'20"" W SEE ASSESSOR MAPBOOK FOR
MISSING PORTION OF LOT BLK 164",CITY LOS ANGELES,12849 VAN NUYS BLVD LOS ANGELES CA 91331 1927,12849 VAN NUYS BLVD LOS ANGELES CA 91331,34.2727739,-118.4127863
1596,2534-016-019,"$22,208",,536,PACOIMA LOT 669 BLK 24,CITY LOS ANGELES,VACANT LOT,VACANT LOT,,
1597,2537-015-058,"$68,448",Y,536,"LOS ANGELES LAND AND WATER CO'S SUB OF A PART OF MACLAY RANCHO LOT
COM AT MOST E COR OF LOT 19 BLK 1 TH S 48¢38' W 75.25 FT TH N 41¢22' W 400 FT
TH S 48¢38' W 80 FT TH N 41¢22' W 161.4 FT TH N 48¢38' E 155.25 FT TH S 41¢22' E
561.4 FT TO BEG PART OF LOT 19 BLK 1",CITY LOS ANGELES,12135 BRANFORD ST LOS ANGELES CA 91352 1007,12135 BRANFORD ST LOS ANGELES CA 91352,34.2516871,-118.3985965
1603,2562-011-046,"$12,659",,536,HILLHAVEN TR EX OF ST LOT 258,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1604,2562-011-047,"$10,943",,536,HILLHAVEN TR EX OF ST LOT 259,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1605,2564-020-010,"$4,974",,536,TRACT NO 6408 LOT 124,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1606,2564-024-001,"$4,390",,536,TRACT NO 6704 LOT 1,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1607,2564-024-002,"$9,861",,536,TRACT NO 6704 LOT 2,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1608,2564-027-023,"$14,141",,536,TRACT NO 6408 LOT 225,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1609,2569-002-016,"$1,877",,536,TRACT NO 8303 LOT 282,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1610,2569-004-042,"$7,871",,536,TRACT NO 8303 LOT 371,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1611,2570-002-017,"$20,873",Y,536,TRACT NO 8303 LOT 74,CITY-LOS ANGELES,6401 DAY ST LOS ANGELES CA 91042 2519,6401 DAY ST LOS ANGELES CA 91042,34.252233,-118.271112
1613,2613-024-053,"$5,102",Y,533,"PORTER LAND AND WATER CO'S RESURVEY OF SAN FERNANDO (EX OF STS) LOT
8 BLK 140",CITY-LOS ANGELES,14362 WOLFSKILL ST LOS ANGELES CA 91340 4435,14362 WOLFSKILL ST LOS ANGELES CA 91340,34.273152,-118.446629
1615,2616-012-057,"$136,491",Y,533,TRACT NO 29486 LOT 29,CITY-LOS ANGELES,11024 OMELVENY AVE LOS ANGELES CA 91340 4425,11024 OMELVENY AVE LOS ANGELES CA 91340,34.270985,-118.4406474
1617,2619-005-025,"$7,159",Y,536,MACLAY RO FOR DESC SEE ASSESSOR'S MAPS POR OF BLK 251,CITY-LOS ANGELES,13714 PAXTON ST LOS ANGELES CA 91331 2860,13714 PAXTON ST LOS ANGELES CA 91331,34.2696963,-118.4314809
1618,2620-015-027,"$1,634",Y,536,*TR=5866*(EX OF ST) LOT 139,CITY LOS ANGELES,10523 ONEIDA AVE LOS ANGELES CA 91331 3027,10523 ONEIDA AVE LOS ANGELES CA 91331,34.2598729,-118.426131
1619,2623-025-024,"$4,934",Y,536,TRACT # 4700 LOT 24,CITY-LOS ANGELES,12807 SUNBURST ST LOS ANGELES CA 91331 3342,12807 SUNBURST ST LOS ANGELES CA 91331,34.253956,-118.4117945
1621,2626-005-001,"$96,209",Y,536,"THE MACLAY RANCHO NE 126 FT OF SW 630 FT OF SE 326 FT OF NW 346 FT OF LOT
290",CITY-LOS ANGELES,13100 OSBORNE ST LOS ANGELES CA 91331 4032,13100 OSBORNE ST LOS ANGELES CA 91331,34.2479133,-118.4179196
1622,2628-002-029,"$3,486",,536,TRACT NO 22370 EX OF ST LOT 4,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1623,2629-015-038,"$37,640",Y,536,TRACT # 18421 LOT 5,CITY-LOS ANGELES,12442 ROUGE ST LOS ANGELES CA 91352 1701,12442 ROUGE ST LOS ANGELES CA 91352,34.2356258,-118.4042246
1625,2633-037-013,"$2,504",,536,"TRACT # 1866 LOT COM AT MOST S COR OF LOT 30 TR # 13879 TH N 41¢20'10"" W 55
FT TH S 48¢39'50"" W TO NE LINE OF TR # 14315 TH SE THEREON TO A PT S 48¢39'50""
W FROM BEG TH NE TO BEG PART OF LOT 8",CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1626,2640-001-026,"$28,176",Y,536,TRACT # 17356 LOT 44,CITY-LOS ANGELES,13721 RAYEN ST LOS ANGELES CA 91331 6143,13721 RAYEN ST LOS ANGELES CA 91331,34.2364487,-118.432332
1627,2645-003-003,"$2,001",,536,TRACT NO 7134 NW 25 FT OF LOT 170,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1628,2650-030-010,"$11,331",Y,536,TRACT NO 14O22 LOT 54,CITY-LOS ANGELES,14711 VINCENNES ST LOS ANGELES CA 91402 1227,14711 VINCENNES ST LOS ANGELES CA 91402,,
1631,2669-021-020,"$8,143",Y,533,TRACT # 17820 LOT 341,CITY-LOS ANGELES,9956 COLLETT AVE LOS ANGELES CA 91343 1620,9956 COLLETT AVE LOS ANGELES CA 91343,34.2519132,-118.4835858
1632,2672-015-021,"$49,262",Y,536,TRACT NO 29168 LOT 7,CITY-LOS ANGELES,15934 BAHAMA ST LOS ANGELES CA 91343 3128,15934 BAHAMA ST LOS ANGELES CA 91343,34.2328278,-118.4793409
1633,2673-011-059,"$48,686",,536,TRACT NO 2899 S 80 FT OF N 160 FT (EX OF ST) OF LOT 501,CITY-LOS ANGELES,8556 HASKELL AVE LOS ANGELES CA 91343 5809,8556 HASKELL AVE LOS ANGELES CA 91343,34.2257214,-118.4763204
1634,2679-017-022,"$26,210",Y,533,TRACT # 22923 LOT 22,CITY-LOS ANGELES,16405 DEVONSHIRE ST LOS ANGELES CA 91344 6742,16405 DEVONSHIRE ST LOS ANGELES CA 91344,34.257517,-118.4894607
1636,2681-001-010,"$26,341",Y,533,TRACT # 20465 LOT 307,CITY-LOS ANGELES,16500 RINALDI ST LOS ANGELES CA 91344 3761,16500 RINALDI ST LOS ANGELES CA 91344,34.279133,-118.491246
1638,2688-026-010,"$123,455",Y,536,"SUB NO 1 OF THE PROPERTY OF THE PORTER LAND AND WATER CO N 70 FT OF S
660 FT OF E 280 FT OF W 310 FT OF LOT 1 IN NW 1/4 OF SEC 30 T 2N R 15W",CITY-LOS ANGELES,8958 BALBOA BLVD LOS ANGELES CA 91325 2609,8958 BALBOA BLVD LOS ANGELES CA 91325,34.2334949,-118.5024548
1639,2688-029-054,"$155,970",Y,536,*TR=32107 LOT 1,CITY-LOS ANGELES,16824 RAYEN ST LOS ANGELES CA 91343 4023,16824 RAYEN ST LOS ANGELES CA 91343,34.2320237,-118.4990874
1640,2695-010-014,"$47,417",Y,533,TRACT # 18226 LOT 37,CITY-LOS ANGELES,10521 GENESTA AVE LOS ANGELES CA 91344 6208,10521 GENESTA AVE LOS ANGELES CA 91344,34.2614795,-118.5045792
1642,2706-019-021,"$106,372",Y,539,TRACT # 7754 E 300 FT OF LOTS 157 AND LOT 158,CITY-LOS ANGELES,"10425 INDEPENDENCE AVE LOS ANGELES CA 91311
2337",10425 INDEPENDENCE AVE LOS ANGELES CA 91311,,
